date,district,MAM_admissions,SAM_admissions
2020-12-01,Baraawe,256.0,123.0
2021-01-01,Baraawe,515.0,223.0
2021-02-01,Baraawe,149.0,109.0
2021-03-01,Baraawe,206.0,120.0
2021-04-01,Baraawe,284.0,112.0
2021-05-01,Baraawe,146.0,120.0
2021-06-01,Baraawe,375.0,47.0
2021-07-01,Baraawe,134.0,151.0
2021-08-01,Baraawe,120.0,59.0
2021-09-01,Baraawe,245.0,65.0
2021-10-01,Baraawe,315.0,114.0
2021-11-01,Baraawe,220.0,113.0
2019-01-01,Berbera,183.0,45.0
2019-02-01,Berbera,583.0,28.0
2019-03-01,Berbera,236.0,52.0
2019-04-01,Berbera,307.0,53.0
2019-05-01,Berbera,322.0,4.0
2019-06-01,Berbera,242.0,88.0
2019-07-01,Berbera,170.0,100.0
2019-08-01,Berbera,170.0,110.0
2019-09-01,Berbera,270.0,94.0
2019-10-01,Berbera,261.0,70.0
2019-11-01,Berbera,359.0,92.0
2019-12-01,Berbera,358.0,102.0
2020-01-01,Berbera,473.0,61.0
2020-02-01,Berbera,444.0,95.0
2020-03-01,Berbera,343.0,61.0
2020-04-01,Berbera,370.0,57.0
2020-05-01,Berbera,381.0,157.0
2020-06-01,Berbera,86.0,78.0
2020-07-01,Berbera,27.0,71.0
2020-08-01,Berbera,19.0,102.0
2020-09-01,Berbera,0.0,111.0
2020-10-01,Berbera,15.0,108.0
2020-11-01,Berbera,539.0,76.0
2020-12-01,Berbera,821.0,69.0
2021-01-01,Berbera,442.0,181.0
2021-02-01,Berbera,378.0,84.0
2021-03-01,Berbera,71.0,104.0
2021-04-01,Berbera,51.0,39.0
2021-05-01,Berbera,39.0,46.0
2021-06-01,Berbera,1683.0,26.0
2021-07-01,Berbera,1163.0,19.0
2021-08-01,Berbera,336.0,16.0
2021-09-01,Berbera,470.0,85.0
2021-10-01,Berbera,53.0,116.0
2021-11-01,Berbera,54.0,101.0
2019-01-01,Borama,1682.0,128.0
2019-02-01,Borama,1514.0,84.0
2019-03-01,Borama,1260.0,164.0
2019-04-01,Borama,1512.0,144.0
2019-05-01,Borama,801.0,171.0
2019-06-01,Borama,806.0,49.0
2019-07-01,Borama,1301.0,163.0
